instance,status,lp_bound,mip_obj,vehicles,columns,iterations,time_s,error
instance_0-triangle,OPTIMAL,3538.0,3538.0,15,15,1,3.86,
instance_1-triangle,OPTIMAL,3956.0,3956.0,12,18,1,0.24,
instance_11-triangle,OPTIMAL,7887.0,7887.0,26,34,1,0.12,
instance_12-triangle,OPTIMAL,6635.0,6635.0,23,35,1,0.13,
instance_20-triangle,OPTIMAL,17637.0,17637.0,56,66,1,0.4,
instance_21-triangle,OPTIMAL,16740.0,16740.0,60,60,1,0.21,
instance_6-triangle,OPTIMAL,5510.0,5510.0,20,20,1,0.09,
instance_7-triangle,OPTIMAL,5983.0,5983.0,19,21,1,0.17,
